"","x"
"1",7
"2",8
"3",0
"4",0
"5",8
"6",5
"7",7
"8",5
"9",5
"10",5
"11",6
"12",8
"13",0
"14",4
"15",0
"16",0
"17",4
"18",7
"19",4
"20",0
"21",6
"22",2
"23",0
"24",9
"25",0
"26",7
"27",6
"28",7
"29",2
"30",10
"31",5
"32",5
"33",9
"34",4
"35",0
"36",0
"37",5
"38",3
"39",6
"40",0
"41",2
"42",0
"43",4
"44",0
"45",0
"46",2
"47",0
"48",3
"49",0
"50",4
"51",10
"52",0
"53",3
"54",3
"55",0
"56",2
"57",5
"58",2
"59",8
"60",5
"61",5
"62",8
"63",8
"64",0
"65",0
"66",0
"67",8
"68",7
"69",4
"70",7
"71",10
"72",6
"73",0
"74",5
"75",1
"76",0
"77",0
"78",0
"79",0
"80",8
"81",5
"82",5
"83",1
"84",0
"85",6
"86",5
"87",6
"88",5
"89",6
"90",7
"91",4
"92",2
"93",2
"94",6
"95",4
"96",0
"97",0
"98",10
"99",2
"100",0
