"","V1","V2"
"1","R","R"
"2","L","R"
"3","R","R"
"4","R","L"
"5","L","R"
"6","R","L"
"7","R","L"
"8","L","R"
"9","R","R"
"10","R","L"
"11","L","L"
"12","R","R"
"13","R","R"
"14","L","R"
"15","R","L"
"16","L","L"
"17","L","L"
"18","L","L"
"19","L","R"
"20","L","R"
"21","L","R"
"22","R","L"
"23","L","R"
"24","L","R"
"25","R","L"
"26","L","R"
"27","R","R"
"28","R","R"
"29","R","R"
"30","R","L"
"31","R","L"
"32","L","L"
"33","L","L"
"34","L","L"
"35","L","L"
"36","L","L"
"37","L","L"
"38","R","L"
"39","L","L"
"40","L","L"
"41","L","L"
"42","R","R"
"43","R","L"
"44","L","L"
"45","L","R"
"46","L","L"
"47","L","L"
"48","L","L"
"49","L","R"
"50","L","L"
"51","R","L"
"52","R","L"
"53","R","L"
"54","R","L"
"55","R","L"
"56","L","R"
"57","L","L"
"58","R","R"
"59","R","R"
"60","R","R"
"61","L","L"
"62","R","R"
"63","R","R"
"64","R","R"
"65","R","L"
"66","R","R"
"67","L","L"
"68","L","R"
"69","L","L"
"70","R","R"
"71","R","R"
"72","L","L"
"73","L","R"
"74","L","L"
"75","L","L"
"76","R","R"
"77","R","R"
"78","L","R"
"79","L","L"
"80","R","R"
"81","R","R"
"82","R","L"
"83","R","L"
"84","R","L"
"85","R","R"
"86","L","R"
"87","L","R"
"88","L","R"
"89","R","L"
"90","R","R"
"91","L","R"
"92","R","R"
"93","R","R"
"94","R","R"
"95","L","R"
"96","R","R"
"97","L","L"
"98","R","R"
"99","L","R"
"100","R","L"
